,run,graph,diameter,edge_density,nodes,edges,objective,algorithm
4,4,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,3,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,3,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,3,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,3,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,3,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,2,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,2,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,2,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,2,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,2,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,5,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,localSearchOQC
1,5,football,1.0,1.0,9,36,modified_edge_surplus,localSearchOQC
2,5,email-EU-core,2.0,0.5374149659863946,99,2607,modified_edge_surplus,localSearchOQC
3,5,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,localSearchOQC
4,5,wiki-Vote,2.0,0.4142543859649122,96,1889,modified_edge_surplus,localSearchOQC
0,9,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
1,9,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,9,email-EU-core,2.0,0.4972004479283314,95,2220,edge_surplus,greedyOQC
3,9,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,9,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,0,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
0,7,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
1,7,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,7,email-EU-core,2.0,0.4864296233957501,98,2312,edge_surplus,greedyOQC
3,7,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,7,wiki-Vote,2.0,0.4226262626262626,100,2092,edge_surplus,greedyOQC
0,6,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
1,6,football,,0.3333333333333333,6,5,edge_surplus,greedyOQC
2,6,email-EU-core,3.0,0.4989704873026767,94,2181,edge_surplus,greedyOQC
3,6,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,6,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,1,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
1,1,football,2.0,0.6666666666666666,3,2,edge_surplus,greedyOQC
2,1,email-EU-core,2.0,0.4864296233957501,98,2312,edge_surplus,greedyOQC
3,1,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,1,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,10,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
1,10,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,10,email-EU-core,2.0,0.4989704873026767,94,2181,edge_surplus,greedyOQC
3,10,C-elegans-frontal,3.0,0.3974358974358974,13,31,edge_surplus,greedyOQC
4,10,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,8,dolphins,3.0,0.5,5,5,edge_surplus,greedyOQC
